gen alive: 4, params: danger divisor: 17.45371586200384, corner divisor: 6.103364240495251, corner exponent: 2.4401458802567406, min opp score: 178.2823469587079, id: 66278, score: 6
gen alive: 4, params: danger divisor: 5.01246608501934, min opp score: 263.0750076964197, corner divisor: 1.4057856095825891, corner exponent: 2.1553933383227104, id: 66320, score: 6
gen alive: 4, params: corner divisor: 2.566939015775496, corner exponent: 1.9888918236647077, min opp score: 178.2823469587079, danger divisor: 17.45371586200384, id: 66322, score: 6
gen alive: 3, params: danger divisor: 1.294377728382957, min opp score: 314.0176289596843, corner divisor: 2.2654087676256687, corner exponent: 2.053428922810437, id: 65395, score: 6
gen alive: 3, params: danger divisor: 11.18027497933319, min opp score: 556.0333459700885, corner divisor: 1.4987651649139213, corner exponent: 1.7487390207681925, id: 65501, score: 6
gen alive: 3, params: danger divisor: 2.92716208522071, min opp score: 797.7347024775621, corner divisor: 6.473808043134014, corner exponent: 2.141949221138373, id: 65955, score: 6
gen alive: 3, params: corner divisor: 4.349089901837019, corner exponent: 1.9494685411229826, min opp score: 408.6191519845239, danger divisor: 1.9783902222229983, id: 65957, score: 6
gen alive: 3, params: danger divisor: 7.321336003046883, min opp score: 208.20795504282302, corner divisor: 5.153446794208263, corner exponent: 2.0662801998745772, id: 65973, score: 6
gen alive: 3, params: min opp score: 568.4180325594305, danger divisor: 3.4130132497369856, corner divisor: 2.566939015775496, corner exponent: 1.0684310160479022, id: 65977, score: 6
gen alive: 3, params: danger divisor: 6.365283927083169, min opp score: 615.8525890253047, corner divisor: 2.2111998301497744, corner exponent: 2.460252641775255, id: 66023, score: 6
gen alive: 3, params: danger divisor: 19.94383764146445, min opp score: 174.1388286071416, corner divisor: 1.88515484375278, corner exponent: 2.032506636002845, id: 66113, score: 6
gen alive: 3, params: danger divisor: 6.25419869631473, min opp score: 428.43930646239744, id: 66135, score: 6
gen alive: 3, params: danger divisor: 2.7060158439117834, min opp score: 343.53643291493603, corner divisor: 2.0971930306885422, corner exponent: 2.032506636002845, id: 66209, score: 6
gen alive: 3, params: danger divisor: 11.625759205809242, min opp score: 128.98831810019226, corner divisor: 1.4250631408404224, corner exponent: 2.5498235302258094, id: 66311, score: 6
gen alive: 3, params: danger divisor: 17.45371586200384, min opp score: 178.2823469587079, corner divisor: 6.103364240495251, corner exponent: 1.4924682659121717, id: 66327, score: 6
gen alive: 2, params: danger divisor: 6.671258042079306, corner divisor: 6.7196864789350075, corner exponent: 1.754990185567103, min opp score: 703.1691532600419, id: 65907, score: 6
gen alive: 2, params: danger divisor: 9.959617267613273, min opp score: 455.67317457171316, corner divisor: 5.311353079304133, corner exponent: 2.0131763112688583, id: 65913, score: 6
gen alive: 2, params: danger divisor: 11.18027497933319, min opp score: 568.2453660961871, corner divisor: 2.9004638621899557, corner exponent: 1.7487390207681925, id: 66117, score: 6
gen alive: 2, params: danger divisor: 5.247020835335925, corner divisor: 2.2949928901357213, corner exponent: 1.6006634642299626, min opp score: 566.6608921056413, chip divisor: 17.403482708590435, id: 66271, score: 6
gen alive: 1, params: danger divisor: 17.466399096269768, min opp score: 343.53643291493603, corner divisor: 2.0971930306885422, corner exponent: 2.443592057905167, id: 66021, score: 6
gen alive: 1, params: corner divisor: 8.569586145833227, corner exponent: 2.492310845889711, danger divisor: 4.115185157592466, min opp score: 434.0086219615413, id: 66069, score: 6
gen alive: 1, params: min opp score: 459.60551314330627, corner divisor: 3.9604851764630977, corner exponent: 2.137184242078253, chip divisor: 10.39464467684768, id: 66333, score: 6
gen alive: 1, params: danger divisor: 17.59829624361141, chip divisor: 5.139672555472443, corner divisor: 8.925649924409843, corner exponent: 1.0254715822607052, min opp score: 599.4814605857864, id: 66336, score: 6
gen alive: 1, params: danger divisor: 11.12223171310964, min opp score: 188.39989511212292, chip divisor: 4.07313472463221, id: 66344, score: 6
gen alive: 1, params: corner divisor: 1.4529165456252682, corner exponent: 1.5361002104770507, chip divisor: 5.424760844385718, danger divisor: 9.16017873737611, min opp score: 785.7636794799884, id: 66347, score: 6
gen alive: 1, params: chip divisor: 2.6074521490033717, danger divisor: 19.63138178137742, min opp score: 575.907087434993, corner divisor: 6.804569473330286, corner exponent: 1.5693635239637111, id: 66386, score: 6
gen alive: 1, params: danger divisor: 6.833675746797232, min opp score: 554.6235763869344, corner divisor: 8.117664180240013, corner exponent: 2.956563108525443, chip divisor: 5.345936247300463, id: 64537, score: 6
gen alive: 1, params: min opp score: 872.5735080693908, corner divisor: 4.450856068444116, corner exponent: 2.6364361432391434, danger divisor: 12.785225811872989, id: 65447, score: 6
gen alive: 1, params: danger divisor: 18.32019800159942, min opp score: 432.5286998268997, corner divisor: 5.311353079304133, corner exponent: 2.421112930951764, chip divisor: 3.6000626316115922, id: 65619, score: 6
gen alive: 1, params: danger divisor: 19.90622950215324, min opp score: 178.2823469587079, corner divisor: 1.830205799629839, corner exponent: 1.5168549254242716, chip divisor: 9.68651063231324, id: 65143, score: 6
gen alive: 1, params: min opp score: 302.6723620518924, danger divisor: 6.79060851493003, id: 65163, score: 6
gen alive: 1, params: danger divisor: 12.447320491930563, min opp score: 597.5322475057503, corner divisor: 8.170850096907046, corner exponent: 2.6173494727594444, chip divisor: 13.403013744562037, id: 65537, score: 6
gen alive: 1, params: danger divisor: 13.807565801933059, min opp score: 308.9344273293316, corner divisor: 1.3169896091241036, corner exponent: 2.666939198145177, id: 65745, score: 6
gen alive: 1, params: min opp score: 156.85695097707315, corner divisor: 1.620176934635798, corner exponent: 2.4106555435510613, chip divisor: 9.295193148414253, id: 65774, score: 6
gen alive: 1, params: danger divisor: 6.357860718181758, corner divisor: 1.9829048516469048, corner exponent: 2.3441594014389437, min opp score: 320.50684611354427, chip divisor: 5.945304835579896, id: 65591, score: 6
gen alive: 1, params: corner divisor: 6.822186406432596, corner exponent: 2.3836709973454173, danger divisor: 10.788210380546232, id: 65746, score: 6
gen alive: 1, params: danger divisor: 18.823590885543982, min opp score: 118.15863457274381, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, chip divisor: 1.7146289229091352, id: 65724, score: 6
gen alive: 1, params: danger divisor: 5.939097822640343, min opp score: 398.6186573067664, corner divisor: 3.1453760796352537, corner exponent: 2.7716609759360358, chip divisor: 15.69788227761291, id: 65607, score: 6
gen alive: 1, params: danger divisor: 12.526838122885987, corner divisor: 4.207622552092129, corner exponent: 2.8048197294686004, min opp score: 310.36981115619193, id: 65467, score: 6
gen alive: 9, params: danger divisor: 4.432226922435602, min opp score: 270.6325821783138, corner divisor: 1.4250631408404224, corner exponent: 1.8923793178759525, id: 66296, score: 4
gen alive: 7, params: danger divisor: 13.116095385764414, min opp score: 430.74219453760657, corner divisor: 1.4987651649139213, corner exponent: 2.0977895008111416, id: 65304, score: 4
gen alive: 6, params: danger divisor: 7.377146476844247, min opp score: 273.9978185953781, corner divisor: 19.049174672798966, corner exponent: 1.2302634429142136, id: 66305, score: 4
gen alive: 5, params: danger divisor: 1.7721408789033868, min opp score: 378.3584713263713, corner divisor: 7.316451054200672, corner exponent: 1.12902073209985, id: 65915, score: 4
gen alive: 5, params: corner divisor: 11.923774198784457, corner exponent: 2.0977895008111416, danger divisor: 7.377146476844247, min opp score: 430.74219453760657, id: 66252, score: 4
gen alive: 2, params: danger divisor: 2.670055507590188, min opp score: 185.62426893816234, corner divisor: 6.313487090742711, corner exponent: 1.4173844822793837, id: 65235, score: 4
gen alive: 15, params: danger divisor: 5.184922336002935, min opp score: 270.6325821783138, corner divisor: 4.465786036298703, corner exponent: 2.4401458802567406, id: 66266, score: 3
