{'ppo_masked_385': ([1, 97], [2, 89]), 'ppo_masked_138': ([2, 94], [1, 104]), 'zeros': ([0, 9], [0, 7])}
{'ppo_masked_385': ([1, 89], [2, 90]), 'ppo_masked_139': ([2, 109], [1, 105]), 'zeros': ([0, 2], [0, 5])}
{'ppo_masked_385': ([1, 97], [2, 101]), 'ppo_masked_140': ([2, 99], [1, 91]), 'zeros': ([0, 4], [0, 8])}
{'ppo_masked_385': ([1, 94], [2, 88]), 'ppo_masked_141': ([2, 99], [1, 106]), 'zeros': ([0, 7], [0, 6])}
{'ppo_masked_385': ([1, 94], [2, 100]), 'ppo_masked_142': ([2, 99], [1, 96]), 'zeros': ([0, 7], [0, 4])}
{'ppo_masked_385': ([1, 84], [2, 89]), 'ppo_masked_143': ([2, 111], [1, 103]), 'zeros': ([0, 5], [0, 8])}
{'ppo_masked_385': ([1, 93], [2, 88]), 'ppo_masked_144': ([2, 103], [1, 109]), 'zeros': ([0, 4], [0, 3])}
{'ppo_masked_385': ([1, 98], [2, 87]), 'ppo_masked_145': ([2, 93], [1, 104]), 'zeros': ([0, 9], [0, 9])}
{'ppo_masked_385': ([1, 106], [2, 98]), 'ppo_masked_146': ([2, 91], [1, 95]), 'zeros': ([0, 3], [0, 7])}
{'ppo_masked_385': ([1, 91], [2, 101]), 'ppo_masked_147': ([2, 104], [1, 91]), 'zeros': ([0, 5], [0, 8])}
{'ppo_masked_385': ([1, 101], [2, 111]), 'ppo_masked_148': ([2, 96], [1, 83]), 'zeros': ([0, 3], [0, 6])}
{'ppo_masked_385': ([1, 104], [2, 90]), 'ppo_masked_149': ([2, 90], [1, 101]), 'zeros': ([0, 6], [0, 9])}
{'ppo_masked_385': ([1, 91], [2, 86]), 'ppo_masked_150': ([2, 103], [1, 108]), 'zeros': ([0, 6], [0, 6])}
{'ppo_masked_385': ([1, 110], [2, 84]), 'ppo_masked_151': ([2, 83], [1, 103]), 'zeros': ([0, 7], [0, 13])}
{'ppo_masked_385': ([1, 95], [2, 100]), 'ppo_masked_152': ([2, 99], [1, 94]), 'zeros': ([0, 6], [0, 6])}
{'ppo_masked_385': ([1, 100], [2, 105]), 'ppo_masked_153': ([2, 93], [1, 86]), 'zeros': ([0, 7], [0, 9])}
{'ppo_masked_385': ([1, 111], [2, 104]), 'ppo_masked_154': ([2, 86], [1, 90]), 'zeros': ([0, 3], [0, 6])}
{'ppo_masked_385': ([1, 107], [2, 112]), 'ppo_masked_155': ([2, 90], [1, 83]), 'zeros': ([0, 3], [0, 5])}
{'ppo_masked_385': ([1, 97], [2, 77]), 'ppo_masked_156': ([2, 101], [1, 113]), 'zeros': ([0, 2], [0, 10])}
{'ppo_masked_385': ([1, 101], [2, 82]), 'ppo_masked_157': ([2, 95], [1, 111]), 'zeros': ([0, 4], [0, 7])}
{'ppo_masked_385': ([1, 98], [2, 89]), 'ppo_masked_158': ([2, 95], [1, 109]), 'zeros': ([0, 7], [0, 2])}
{'ppo_masked_385': ([1, 92], [2, 89]), 'ppo_masked_159': ([2, 102], [1, 101]), 'zeros': ([0, 6], [0, 10])}
{'ppo_masked_385': ([1, 100], [2, 83]), 'ppo_masked_160': ([2, 95], [1, 111]), 'zeros': ([0, 5], [0, 6])}
{'ppo_masked_385': ([1, 95], [2, 85]), 'ppo_masked_161': ([2, 99], [1, 111]), 'zeros': ([0, 6], [0, 4])}
{'ppo_masked_385': ([1, 94], [2, 92]), 'ppo_masked_162': ([2, 101], [1, 102]), 'zeros': ([0, 5], [0, 6])}
{'ppo_masked_385': ([1, 113], [2, 102]), 'ppo_masked_163': ([2, 85], [1, 93]), 'zeros': ([0, 2], [0, 5])}
{'ppo_masked_385': ([1, 106], [2, 111]), 'ppo_masked_164': ([2, 88], [1, 85]), 'zeros': ([0, 6], [0, 4])}
{'ppo_masked_385': ([1, 102], [2, 93]), 'ppo_masked_165': ([2, 93], [1, 100]), 'zeros': ([0, 5], [0, 7])}
{'ppo_masked_385': ([1, 87], [2, 107]), 'ppo_masked_166': ([2, 106], [1, 85]), 'zeros': ([0, 7], [0, 8])}
{'ppo_masked_385': ([1, 102], [2, 113]), 'ppo_masked_167': ([2, 93], [1, 80]), 'zeros': ([0, 5], [0, 7])}
{'ppo_masked_385': ([1, 108], [2, 112]), 'ppo_masked_168': ([2, 90], [1, 83]), 'zeros': ([0, 2], [0, 5])}
{'ppo_masked_385': ([1, 98], [2, 103]), 'ppo_masked_169': ([2, 94], [1, 89]), 'zeros': ([0, 8], [0, 8])}
{'ppo_masked_385': ([1, 91], [2, 91]), 'ppo_masked_170': ([2, 105], [1, 104]), 'zeros': ([0, 4], [0, 5])}
{'ppo_masked_385': ([1, 90], [2, 80]), 'ppo_masked_171': ([2, 107], [1, 110]), 'zeros': ([0, 3], [0, 10])}
{'ppo_masked_385': ([1, 80], [2, 86]), 'ppo_masked_172': ([2, 110], [1, 109]), 'zeros': ([0, 10], [0, 5])}
{'ppo_masked_385': ([1, 97], [2, 91]), 'ppo_masked_173': ([2, 97], [1, 94]), 'zeros': ([0, 6], [0, 15])}
{'ppo_masked_385': ([1, 103], [2, 90]), 'ppo_masked_174': ([2, 94], [1, 103]), 'zeros': ([0, 3], [0, 7])}
{'ppo_masked_385': ([1, 86], [2, 74]), 'ppo_masked_175': ([2, 110], [1, 120]), 'zeros': ([0, 4], [0, 6])}
{'ppo_masked_385': ([1, 87], [2, 87]), 'ppo_masked_176': ([2, 110], [1, 109]), 'zeros': ([0, 3], [0, 4])}
{'ppo_masked_385': ([1, 91], [2, 89]), 'ppo_masked_177': ([2, 98], [1, 106]), 'zeros': ([0, 11], [0, 5])}
{'ppo_masked_385': ([1, 105], [2, 83]), 'ppo_masked_178': ([2, 92], [1, 114]), 'zeros': ([0, 3], [0, 3])}
{'ppo_masked_385': ([1, 101], [2, 94]), 'ppo_masked_179': ([2, 93], [1, 102]), 'zeros': ([0, 6], [0, 4])}
{'ppo_masked_385': ([1, 95], [2, 80]), 'ppo_masked_180': ([2, 100], [1, 111]), 'zeros': ([0, 5], [0, 9])}
{'ppo_masked_385': ([1, 96], [2, 95]), 'ppo_masked_181': ([2, 97], [1, 101]), 'zeros': ([0, 7], [0, 4])}
{'ppo_masked_385': ([1, 100], [2, 104]), 'ppo_masked_182': ([2, 97], [1, 91]), 'zeros': ([0, 3], [0, 5])}
{'ppo_masked_385': ([1, 86], [2, 102]), 'ppo_masked_183': ([2, 111], [1, 93]), 'zeros': ([0, 3], [0, 5])}
{'ppo_masked_385': ([1, 82], [2, 82]), 'ppo_masked_184': ([2, 114], [1, 115]), 'zeros': ([0, 4], [0, 3])}
