gen alive: 6, params: corner divisor: 1.1676389748210614, corner exponent: 1.6278222462949008, danger divisor: 6.273854324647272, min opp score: 272.14483671774246, chip divisor: 6.208195512047586, id: 5298, score: 12
gen alive: 5, params: min opp score: 789.5755498497263, danger divisor: 5.1203181262998445, corner divisor: 2.01367601221817, corner exponent: 2.192998573419733, id: 5197, score: 12
gen alive: 5, params: corner divisor: 2.3506686010898745, corner exponent: 2.3408568067973343, danger divisor: 6.830361569984919, min opp score: 308.21909297121204, chip divisor: 16.78024031441637, id: 5328, score: 12
gen alive: 2, params: min opp score: 620.3355814824321, corner divisor: 8.197066801432582, corner exponent: 1.8889820824521142, danger divisor: 1.2373134973252098, id: 5357, score: 12
gen alive: 1, params: corner divisor: 1.9849544136795, corner exponent: 1.9144719912285326, chip divisor: 11.206479205960807, danger divisor: 18.33496850550774, id: 5387, score: 12
gen alive: 1, params: corner divisor: 12.548866203449988, corner exponent: 2.3177057154255793, min opp score: 742.6057506643066, danger divisor: 15.218882593247338, id: 5393, score: 12
gen alive: 1, params: min opp score: 210.06051155914975, danger divisor: 3.609755930719611, corner divisor: 2.5087001582615285, corner exponent: 1.6394272717728842, id: 5104, score: 12
gen alive: 7, params: min opp score: 335.6190432629545, corner divisor: 17.735503633149495, corner exponent: 2.007158519845942, danger divisor: 1.5537486913611744, id: 5320, score: 10
gen alive: 1, params: danger divisor: 18.209441257207615, id: 5398, score: 10
gen alive: 5, params: corner divisor: 10.677973940878253, corner exponent: 1.959303868968217, danger divisor: 9.08183839283139, min opp score: 308.21909297121204, id: 5342, score: 9
gen alive: 1, params: danger divisor: 10.911831737850266, id: 5391, score: 9
gen alive: 1, params: chip divisor: 13.856714011820538, danger divisor: 4.760760186150307, corner divisor: 9.125081939664884, corner exponent: 1.349151201460746, id: 5395, score: 9
gen alive: 1, params: danger divisor: 16.618883413586587, chip divisor: 18.859032372755497, id: 5396, score: 9
gen alive: 1, params: corner divisor: 8.597079321131822, corner exponent: 1.7264532745573855, danger divisor: 14.976515655090706, chip divisor: 16.393459649291394, min opp score: 384.592773830508, id: 5397, score: 9
gen alive: 1, params: danger divisor: 7.11450854416951, chip divisor: 13.825194742040033, min opp score: 511.0967381228241, id: 5388, score: 6
gen alive: 1, params: corner divisor: 4.909967497973922, corner exponent: 1.3019041085043366, id: 5389, score: 6
gen alive: 1, params: danger divisor: 14.643191193498444, chip divisor: 18.17699063515919, corner divisor: 15.65361234550824, corner exponent: 2.125081808558222, id: 5399, score: 6
gen alive: 1, params: danger divisor: 18.96511029276126, id: 5386, score: 3
gen alive: 1, params: min opp score: 969.46648092132, corner divisor: 3.061599456287034, corner exponent: 2.2115873753019306, danger divisor: 13.670303038204427, id: 5203, score: 3
gen alive: 1, params: chip divisor: 12.226532464373719, id: 5390, score: 1
