gen alive: 13, params: corner divisor: 1.8908946854051345, corner exponent: 2.998997981500411, danger divisor: 1.867775139352426, min opp score: 228.25175018115996, id: 40771, score: 40
gen alive: 13, params: corner divisor: 1.924872582001383, corner exponent: 2.3348231010915717, danger divisor: 9.797512011594744, min opp score: 223.6095759741716, id: 40786, score: 40
gen alive: 10, params: corner divisor: 3.205958229241868, corner exponent: 1.2407766349501037, min opp score: 139.1762947009676, danger divisor: 3.2260691062100193, id: 39943, score: 40
gen alive: 8, params: min opp score: 139.1762947009676, danger divisor: 2.550749837089523, corner divisor: 19.47691530065707, corner exponent: 1.5840934107704694, id: 40555, score: 40
gen alive: 4, params: corner divisor: 4.689351727110245, corner exponent: 2.032930607312575, danger divisor: 1.4941192249339745, min opp score: 396.9802891049965, id: 39933, score: 40
gen alive: 1, params: corner divisor: 4.050659428315518, corner exponent: 2.3977115147294468, danger divisor: 4.99543212518088, min opp score: 275.69031241100663, id: 40101, score: 40
gen alive: 33, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 148.5830980749371, danger divisor: 2.272649183166843, id: 40224, score: 39
gen alive: 31, params: danger divisor: 8.036951310522213, min opp score: 144.36856232262755, corner divisor: 1.4141726915481594, corner exponent: 2.5580553710702327, id: 40194, score: 39
gen alive: 27, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 316.239352851628, danger divisor: 4.99543212518088, id: 40259, score: 39
gen alive: 27, params: min opp score: 181.24629162465823, danger divisor: 2.550749837089523, corner divisor: 1.4141726915481594, corner exponent: 1.7007481374325488, id: 40758, score: 39
gen alive: 26, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, min opp score: 139.1762947009676, danger divisor: 1.0824483397993152, id: 39660, score: 39
gen alive: 26, params: min opp score: 872.3638929852237, danger divisor: 2.914264166191812, corner divisor: 1.924872582001383, corner exponent: 2.5580553710702327, id: 40730, score: 39
gen alive: 25, params: min opp score: 202.5749573151316, danger divisor: 1.867775139352426, corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, id: 40233, score: 39
gen alive: 24, params: min opp score: 195.01361189096625, danger divisor: 2.305755204698305, corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, id: 38149, score: 39
gen alive: 22, params: corner divisor: 1.8908946854051345, corner exponent: 2.2598701791750018, min opp score: 139.1762947009676, danger divisor: 2.6769642435092322, id: 40764, score: 39
gen alive: 21, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, min opp score: 181.7485407405625, danger divisor: 2.305755204698305, id: 39283, score: 39
gen alive: 20, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, danger divisor: 2.305755204698305, min opp score: 872.3638929852237, id: 39718, score: 39
gen alive: 18, params: danger divisor: 4.757401389740438, min opp score: 212.75495741371265, corner divisor: 1.5674031545418696, corner exponent: 2.8518345300175136, id: 40684, score: 39
gen alive: 18, params: min opp score: 195.01361189096625, danger divisor: 2.914264166191812, corner divisor: 2.862241644415418, corner exponent: 2.65964097961648, id: 40756, score: 39
