gen alive: 1, params: corner divisor: 1.8908946854051345, corner exponent: 2.903746839000833, danger divisor: 3.8417567363561873, min opp score: 366.26223297606606, id: 44677, score: 39
gen alive: 29, params: corner divisor: 1.4141726915481594, corner exponent: 1.7520585311117283, danger divisor: 1.286596863030676, min opp score: 144.36856232262755, id: 45349, score: 37
gen alive: 23, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, danger divisor: 2.1412717744043266, min opp score: 524.1422087046086, id: 45402, score: 37
gen alive: 17, params: corner divisor: 3.2220547479152257, corner exponent: 2.8664371522540826, danger divisor: 10.761399137932669, min opp score: 273.07473081803323, id: 45331, score: 37
gen alive: 16, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 134.22744511295932, danger divisor: 2.305755204698305, id: 45820, score: 37
gen alive: 15, params: corner divisor: 2.862241644415418, corner exponent: 2.65964097961648, min opp score: 122.4941592700856, danger divisor: 7.374219655440893, id: 45695, score: 37
gen alive: 15, params: corner divisor: 2.286479560309278, corner exponent: 2.8518345300175136, danger divisor: 1.286596863030676, min opp score: 307.3728795029093, id: 45869, score: 37
gen alive: 13, params: corner divisor: 1.924872582001383, corner exponent: 1.5049133598394, danger divisor: 2.7610173220029974, min opp score: 273.07473081803323, id: 45583, score: 37
gen alive: 11, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 146.53928744305847, danger divisor: 1.0824483397993152, id: 45115, score: 37
gen alive: 11, params: corner divisor: 1.4141726915481594, corner exponent: 2.592441284884862, min opp score: 141.34469833936106, danger divisor: 8.917529797402459, id: 45832, score: 37
gen alive: 6, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 1.907414930420253, min opp score: 686.2966334123204, id: 45507, score: 37
gen alive: 1, params: min opp score: 699.629207402434, danger divisor: 7.589949150436166, corner divisor: 2.438497591931453, corner exponent: 1.722919389023295, id: 44765, score: 37
gen alive: 25, params: corner divisor: 2.862241644415418, corner exponent: 1.7273098896886179, min opp score: 159.49531753453243, danger divisor: 1.0824483397993152, id: 45805, score: 36
